OID_;ID;x_coord;y_coord;xy_coord;RASTERVALU;b1_ms170_1;b2_ms170_1;b3_ms170_1;b4_ms170_1;b1_ms1707s1_interp;b2_ms1707s1_interp;b3_ms1707s1_interp;b4_ms1707s1_interp,,,,,,
1;1;30,068124995600002;-22,330583328900001;30.06812499555571 -22.330583328889173;346;346;314;296;461;358,4926453;326,7426453;311,9910278;479,7394409
2;2;30,068138884400000;-22,330583328900001;30.068138884444597 -22.330583328889173;356;356;325;312;482;367,2445679;336,2445679;326,7426453;498,9916687
3;3;30,068152773300000;-22,330583328900001;30.068152773333487 -22.330583328889173;371;371;341;336;512;377,7477722;348,2474365;346,4958496;523,4955444
4;4;30,068166662199999;-22,330583328900001;30.068166662222374 -22.330583328889173;389;389;361;366;548;385,5022278;358,2515869;364,0009460;545,15869
5;5;30,068180551099999;-22,330583328900001;30.068180551111265 -22.330583328889173;393;393;367;378;563;389,0009460;363,5006409;375,7493591;559,2496948
6;6;30,068194439999999;-22,330583328900001;30.068194440000152 -22.330583328889173;391;391;366;382;567;391,2480774;367,7467957;385,7452087;569,9948730
7;7;30,068208328899999;-22,330583328900001;30.068208328889042 -22.330583328889173;387;387;364;384;566;398,4929504;378,7410278;401,7388000;585,4878540
8;8;30,068124995600002;-22,330597217800001;30.06812499555571 -22.33059721777806;363;363;331;316;482;372,4958496;340,7458496;328,9939270;495,7442322
9;9;30,068138884400000;-22,330597217800001;30.068138884444597 -22.33059721777806;369;369;337;324;494;372,7487183;341,2484131;332,4961548;501,2471313
10;10;30,068152773300000;-22,330597217800001;30.068152773333487 -22.33059721777806;373;373;342;335;508;375,2487183;345,4977722;342,2455139;513,9964600
11;11;30,068166662199999;-22,330597217800001;30.068166662222374 -22.33059721777806;378;378;349;349;526;382,9945679;356,2429504;360,4897766;536,7394409
12;12;30,068180551099999;-22,330597217800001;30.068180551111265 -22.33059721777806;382;382;356;363;543;395,2397766;371,4878540;384,7333679;566,7314453
13;13;30,068194439999999;-22,330597217800001;30.068194440000152 -22.33059721777806;390;390;365;380;564;405,9894409;385,4865723;406,4827271;592,4814453
14;14;30,068208328899999;-22,330597217800001;30.068208328889042 -22.33059721777806;397;397;376;397;583;412,7420044;395,9894409;422,2365723;608,2368774
15;15;30,068124995600002;-22,330611106700001;30.06812499555571 -22.33061110666695;382;382;351;341;507;378,5025635;346,7528687;337,5025635;499,5051270
16;16;30,068138884400000;-22,330611106700001;30.068138884444597 -22.33061110666695;376;376;344;335;500;374,2506409;342,7503052;335,4990540;498,6409
17;17;30,068152773300000;-22,330611106700001;30.068152773333487 -22.33061110666695;373;373;342;336;503;377,2461548;347,9948730;345,9920044;511,7423096
