OID_;ID;ORIG_FID;x_coord;y_coord;RASTERVALU;b1_ms170_12;b2_ms170_12;b3_ms170_12;b4_ms170_12;b1_ms1707s1_interp_1;b2_ms1707s1_interp_1;b3_ms1707s1_interp_1;b4_ms1707s1_interp_1,,,,,,
1;1;0;30,076041662492798;-22,317868050869833;365;365;352;400;528;365,4910889;350,9923401;398,9940186;526,9913330
2;2;1;30,076881940449255;-22,317305551010350;357;357;344;413;532;356,4978943;341,9992981;408,0022583;526,5018921
3;3;2;30,076777773775291;-22,317395828554595;361;361;350;415;529;366,4928894;354,9940186;418,9945984;533,4946289
4;4;3;30,076708329026189;-22,317249995390910;345;345;328;394;507;348,2459717;336,2427368;412,4857788;525,9848633
5;5;4;30,077111107491646;-22,316937495369075;362;362;352;386;473;358,0039062;347,5026855;379,5005493;464,5042725
6;6;5;30,077499995928122;-22,316708328326627;366;366;342;375;481;358,7527466;336,7510071;377,9947510;480,9960022
7;7;6;30,077624996296606;-22,316631939912043;353;353;332;398;524;350,5108032;330,5109253;400,0115051;525,162964
8;8;7;30,077993051038504;-22,316437494794513;326;326;323;410;500;326,0154419;323,0150757;410,0151672;500,192871
9;9;8;30,077999995603363;-22,316590272523001;367;367;363;430;548;375,4874268;370,9884949;437,4903259;559,9855957
10;10;9;30,078145829666369;-22,316347217250211;338;338;317;355;444;333,5074463;313,5065918;356,5038147;442,5062256
11;11;10;30,078819439865299;-22,316124994772622;389;389;363;396;530;383,7520447;356,7528381;387,2538757;516,7568970
12;12;11;30,078881940049541;-22,315805551085248;370;370;355;391;529;362,5027771;349,0018005;387,9985962;521,5026245
13;13;12;30,079090273397469;-22,315694439846482;352;352;333;344;472;348,5062561;332,0041199;347,5002136;473,26550
14;14;13;30,078999994953847;-22,315763884595526;399;399;382;432;554;378,7625427;363,5111694;416,7587585;532,2626343
15;15;14;30,079124996221651;-22,315430550879171;352;352;325;317;450;346,2538147;318,7543030;309,2552795;445,5032043
16;16;15;30,085611106467468;-22,312916661574604;433;433;441;528;640;413,2648621;420,0158386;499,7708130;605,5255737
17;17;16;30,085659717521992;-22,312965273528505;516;516;541;648;780;515,9789429;540,9762573;647,9698486;779,9633789
18;18;17;30,085708329475892;-22,312874995084883;365;365;355;398;493;359,0028687;348,7530212;392,2523804;484,7535095
19;19;18;30,085902773694102;-22,313187495106774;346;346;331;354;448;343,5055237;326,0068054;347,5076904;443,94604
20;20;19;30,082263884670567;-22,313645828292294;342;342;330;367;449;340,5043640;329,0027771;365,5020142;447,41199
21;21;20;30,082243050976047;-22,313576384442570;380;380;351;383;484;379,9921265;350,9927979;382,9924927;483,9898682
22;22;21;30,081437495843829;-22,314159717097198;342;342;328;344;427;342,0181885;328,0175476;344,0205078;427,262146
23;23;22;30,081361106529869;-22,314236106411158;377;377;373;403;492;365,5044556;364,5021057;397,9990845;482,2514648
24;24;23;30,081395829354108;-22,314208329051098;386;386;380;404;496;385,4988708;381,9966125;409,9927063;501,4927368
25;25;24;30,075979162308556;-22,317722217706148;411;411;402;454;579;400,5094910;391,5082397;447,0036011;570,63477
26;26;25;30,075687495981185;-22,317888883664978;380;380;356;372;491;376,5075378;353,0070190;374,0034180;490,68359
27;27;26;30,075270829285387;-22,318423606164458;346;346;335;394;476;345,9982910;334,9964905;393,9959106;475,9960327
28;28;27;30,075076385067177;-22,318465272654180;337;337;321;363;440;336,9958496;320,9950256;362,9915466;439,9922791
29;29;28;30,075194439971483;-22,318618050382668;372;372;356;387;528;380,9979248;364,0009766;393,0084229;536,65918
30;30;29;30,075486107198117;-22,318597217587467;379;379;351;366;473;373,0042419;343,7551575;355,2573242;460,88196
31;31;30;30,076354162514633;-22,317659717521906;324;324;318;374;495;324,0098877;318,0137329;374,0213318;495,233154
32;32;31;30,076520829372839;-22,317763884195870;339;339;310;330;427;331,5040588;301,5051880;319,5062561;414,79346
33;33;32;30,076576384992222;-22,317881939999495;333;333;304;317;398;333,0065308;304,0071106;317,0095215;398,128784
34;34;33;30,076458329188597;-22,317840272610454;385;385;359;397;513;383,5126038;357,5137329;395,0168152;510,209656
35;35;34;30,076506940243121;-22,317944440183737;355;355;330;366;462;341,5088806;315,0099487;349,0117798;441,153198
36;36;35;30,076381939874693;-22,317493050663700;390;390;396;476;595;389,9917603;395,9893494;475,9812012;594,9799194
37;37;36;30,076590274121884;-22,317326383805550;379;379;377;437;587;379,0073547;377,0060120;437,0039673;587,58594
38;38;37;30,076604162352282;-22,317236106261248;388;388;368;417;540;380,5106812;359,5122986;406,0160522;530,170898
39;39;38;30,077166662211766;-22,317333328370353;398;398;384;418;511;390,7549744;377,0047302;409,7557373;501,5067444
