OID_;ID;ORIG_FID;x_coord;y_coord;RASTERVALU;b1_ms170_12_13;b2_ms170_12_13;b3_ms170_12_13;b4_ms170_12_13;b1_ms1707s1_interp_12;b2_ms1707s1_interp_12;b3_ms1707s1_interp_12;b4_ms1707s1_interp_12,,,,,,
1;1;0;30,083090273497362;-22,307583328407816;366;366;349;372;466;368,4992981;351,9994202;377,4982605;469,9999390
2;2;1;30,082951384898536;-22,307611106667196;384;384;362;373;481;380,9950256;358,4944763;368,4924011;473,4915771
3;3;2;30,083312495974951;-22,307881939299989;344;344;328;349;479;344,0057068;328,0062866;349,0074463;479,120850
4;4;3;30,083458329138637;-22,307777772626082;385;385;372;406;540;390,2536621;377,7536011;409,7564087;544,2578735
5;5;4;30,086472218118445;-22,308534717603095;365;365;356;366;456;358,0164490;348,5180664;358,5232239;450,279846
6;6;5;30,086555551097831;-22,308624995147341;352;352;352;349;420;340,2561035;339,7561340;336,5060730;405,7571106
7;7;6;30,086694440596034;-22,308659717072260;337;337;329;326;449;335,5149231;327,0165100;324,0191040;447,5264282
8;8;7;30,086555551097831;-22,308402773569128;395;395;383;428;541;379,5091553;364,5110474;404,5141602;509,193787
9;9;8;30,087645828891937;-22,309833328745071;341;341;344;346;398;348,9920044;352,9906921;354,9871826;407,9823608
10;10;9;30,087687495381658;-22,309986106473616;412;412;417;432;497;389,0188599;390,5210266;396,5280457;451,5342102
11;11;10;30,087687495381658;-22,309986106473616;412;412;417;432;497;389,0188599;390,5210266;396,5280457;451,5342102
12;12;11;30,086687496031175;-22,310604161952483;400;400;370;367;486;399,9979248;369,9976196;366,9976807;485,9977112
13;13;12;30,089958329413435;-22,316534717802938;355;355;345;358;448;368,5025635;361,5018311;378,0044556;473,5072327
14;14;13;30,082326383955490;-22,318131939837087;379;379;388;481;606;379,0027466;388,0024719;480,9967041;605,9943237
15;15;14;30,081729162171143;-22,314152773431715;369;369;364;398;491;386,9929504;381,4945374;417,4953918;517,9918213
16;16;15;30,086791662705139;-22,310458328788798;399;399;379;399;536;390,5054016;369,0061035;385,5081482;519,5101929
17;17;16;30,086895829379046;-22,310555550897902;342;342;316;314;405;341,0042419;315,5034790;315,0025940;406,37537
18;18;17;30,069854162239835;-22,324416662199155;404;404;390;415;523;390,5061340;375,0061340;396,0079346;497,143433
19;19;18;30,072604162252333;-22,323541662317837;401;401;398;440;528;396,4969482;393,4966125;432,9961243;514,9989014
20;20;19;30,072798607369862;-22,316833328695111;384;384;355;359;464;386,4927979;356,4934692;362,4934998;465,9939575
21;21;20;30,072687495231776;-22,318666662336568;387;387;353;360;489;381,0054626;346,0064087;351,5078735;479,98267
22;22;21;30,073534717753091;-22,319083328133047;377;377;344;345;476;374,0035400;342,0027771;342,5034790;472,63782
23;23;22;30,081590273572317;-22,314034717628090;405;405;386;404;535;405,0044861;386,0036011;404,0030823;535,50659
24;24;23;30,085222218030992;-22,307986106873273;397;397;384;414;544;392,0024414;380,5012207;417,4969482;544,9981689
25;25;24;30,083597218636783;-22,312749994716455;391;391;387;450;572;387,7512207;385,2502136;447,2503357;564,36011
26;26;25;30,083652773356846;-22,312701383661874;393;393;387;444;568;391,0093689;385,0095520;442,5111084;563,165405
27;27;26;30,079124995322331;-22,320430551228924;383;383;371;391;551;367,5132141;355,0135193;376,2634277;530,7678223
28;28;27;30,079729162570857;-22,320493051413166;333;333;325;358;519;333,0086060;325,0083313;358,0086670;519,104370
