OID_,ID,ORIG_FID,x_coord,y_coord,RASTERVALU,b1_ms170_12_13_14,b2_ms170_12_13_14,b3_ms170_12_13_14,b4_ms170_12_13_14,b1_ms1707s1_interp_12_13,b2_ms1707s1_interp_12_13,b3_ms1707s1_interp_12_13,b4_ms1707s1_interp_12_13
1,1,0,30.085173606976412,-22.333374995259760,371,371,335,335,454,378.9909668,344.4895020,347.9868164,469.4839172
2,2,1,30.076881940449255,-22.307340273135026,386,386,355,354,457,386.0050354,355.0052490,354.0064697,457.87585
3,3,2,30.079354162364780,-22.308013884233333,328,328,298,311,418,325.5136108,294.5155029,306.0193176,413.5249939
4,4,3,30.083979162508399,-22.308173606526680,434,434,419,463,629,433.9779663,418.9769592,462.9742126,628.9656982
5,5,4,30.087493051163449,-22.314541661868134,382,382,354,376,532,379.0049133,351.5055237,372.0083008,526.5112305
6,6,5,30.086472218118445,-22.313562495312851,357,357,338,343,461,356.0095215,337.0105591,341.5150757,459.180664
7,7,6,30.082236107310564,-22.320805550535681,392,392,387,462,609,375.7592163,366.7618408,433.7665710,580.5166016
8,8,7,30.079729162570857,-22.317701384011627,329,329,290,259,405,329.0061035,290.0062256,259.0087585,405.87280
9,9,8,30.081631940062039,-22.316395829204112,371,371,342,361,482,370.9953308,341.9947205,360.9953308,481.9940796
10,10,9,30.083729162670750,-22.315694439846482,361,361,332,343,476,353.5032349,324.0022888,334.0022278,464.42114
11,11,10,30.084444440258778,-22.314923606639070,324,324,298,296,412,334.4978638,308.9980469,310.4967346,429.4968567
12,12,11,30.085159717846750,-22.313381939324984,388,388,360,410,531,387.9922180,359.9902344,409.9873047,530.9838257
13,13,12,30.083437495444116,-22.313277773550340,350,350,317,320,406,355.4973145,322.4976501,328.4982605,416.9972534
14,14,13,30.083041662442838,-22.312986106323706,377,377,345,347,471,392.7416382,362.2407837,368.2386780,495.7368469
15,15,14,30.089916662024393,-22.310930551103979,372,372,357,374,533,376.2465210,360.9965210,376.7472229,532.7487793
16,16,15,30.072736107185676,-22.317930551054019,367,367,344,342,445,366.5032959,344.2530212,344.7525024,443.7555542
17,17,16,30.072937495968688,-22.317930551054019,411,411,391,400,500,399.0102539,378.5104370,385.5112915,482.5127869
18,18,17,30.072923606839026,-22.317847217175313,383,383,356,355,437,379.9985046,353.4974976,351.4970093,432.9945984
19,19,18,30.072624995946853,-22.317222218030906,355,355,328,334,399,360.9954834,335.4946289,340.9946594,406.7438354
20,20,19,30.073083329132373,-22.317027772913320,380,380,342,335,422,388.2440796,349.7444763,342.9941711,433.4916992
